id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1,1001,2015-10-06 17:31:00,123,22,24,169,613.77,164.78,194.88,973.43
2,1001,2015-11-05 03:34:00,190,41,57,288,948.1,307.09,462.84,1718.03
3,1001,2015-12-04 04:21:00,85,47,0,132,424.15,352.03,0,776.18
4,1001,2016-01-02 01:18:00,144,32,0,176,718.56,239.68,0,958.24
5,1001,2016-02-01 19:27:00,108,29,28,165,538.92,217.21,227.36,983.49
6,1001,2016-03-02 15:29:00,103,24,46,173,513.97,179.76,373.52,1067.25
7,1001,2016-04-01 11:20:00,101,33,92,226,503.99,247.17,747.04,1498.2
8,1001,2016-05-01 15:55:00,95,47,151,293,474.05,352.03,1226.12,2052.2
9,1001,2016-05-31 21:22:00,91,16,22,129,454.09,119.84,178.64,752.57
10,1001,2016-06-30 12:32:00,94,46,8,148,469.06,344.54,64.96,878.56
11,1001,2016-07-30 03:26:00,101,36,0,137,503.99,269.64,0,773.63
12,1001,2016-08-28 07:13:00,124,33,39,196,618.76,247.17,316.68,1182.61
13,1001,2016-09-26 23:28:00,104,10,44,158,518.96,74.9,357.28,951.14
14,1001,2016-10-26 20:31:00,97,143,54,294,484.03,1071.07,438.48,1993.58
15,1001,2016-11-25 23:21:00,127,39,44,210,633.73,292.11,357.28,1283.12
16,1001,2016-12-24 05:53:00,123,127,19,269,613.77,951.23,154.28,1719.28
17,1011,2016-12-21 10:59:00,527,14,0,541,2629.73,104.86,0,2734.59
18,1021,2015-10-12 02:21:00,516,23,0,539,2574.84,172.27,0,2747.11
19,1021,2015-11-11 07:37:00,497,61,0,558,2480.03,456.89,0,2936.92
20,1021,2015-12-11 16:53:00,483,0,21,504,2410.17,0,170.52,2580.69
21,1021,2016-01-10 09:29:00,535,0,34,569,2669.65,0,276.08,2945.73
22,1021,2016-02-09 00:50:00,502,4,9,515,2504.98,29.96,73.08,2608.02
23,1021,2016-03-10 00:38:00,555,19,4,578,2769.45,142.31,32.48,2944.24
24,1031,2016-12-25 03:54:00,1148,0,215,1363,5728.52,0,1745.8,7474.32
25,1041,2016-10-14 23:54:00,298,28,69,395,1487.02,209.72,560.28,2257.02
26,1041,2016-11-13 10:11:00,307,22,0,329,1531.93,164.78,0,1696.71
27,1041,2016-12-12 07:50:00,157,34,21,212,783.43,254.66,170.52,1208.61
28,1051,2016-08-02 20:13:00,505,84,0,589,2519.95,629.16,0,3149.11
29,1051,2016-09-01 05:38:00,498,35,9,542,2485.02,262.15,73.08,2820.25
30,1051,2016-10-01 00:48:00,486,0,1,487,2425.14,0,8.12,2433.26
31,1051,2016-10-31 06:47:00,505,71,19,595,2519.95,531.79,154.28,3206.02
32,1051,2016-11-30 07:31:00,490,18,0,508,2445.1,134.82,0,2579.92
33,1051,2016-12-30 08:45:00,495,1,1,497,2470.05,7.49,8.12,2485.66
34,1061,2016-10-19 16:04:00,290,52,23,365,1447.1,389.48,186.76,2023.34
35,1061,2016-11-17 08:43:00,249,3,17,269,1242.51,22.47,138.04,1403.02
36,1061,2016-12-16 21:32:00,290,22,18,330,1447.1,164.78,146.16,1758.04
37,1071,2016-12-13 09:01:00,803,31,19,853,4006.97,232.19,154.28,4393.44
38,1081,2015-02-12 22:57:00,283,61,23,367,1412.17,456.89,186.76,2055.82
39,1081,2015-03-13 09:48:00,309,0,25,334,1541.91,0,203,1744.91
40,1081,2015-04-12 04:38:00,292,30,11,333,1457.08,224.7,89.32,1771.1
41,1081,2015-05-12 23:20:00,273,30,19,322,1362.27,224.7,154.28,1741.25
42,1081,2015-06-11 13:43:00,291,36,62,389,1452.09,269.64,503.44,2225.17
43,1081,2015-07-11 23:17:00,433,18,73,524,2160.67,134.82,592.76,2888.25
44,1081,2015-08-09 18:29:00,297,24,9,330,1482.03,179.76,73.08,1734.87
45,1081,2015-09-07 15:35:00,293,30,20,343,1462.07,224.7,162.4,1849.17
46,1081,2015-11-06 04:19:00,321,38,16,375,1601.79,284.62,129.92,2016.33
47,1081,2015-12-05 21:51:00,311,31,7,349,1551.89,232.19,56.84,1840.92
48,1081,2016-01-03 23:21:00,314,20,208,542,1566.86,149.8,1688.96,3405.62
49,1081,2016-02-01 20:00:00,298,26,25,349,1487.02,194.74,203,1884.76
50,1081,2016-03-02 06:07:00,270,40,31,341,1347.3,299.6,251.72,1898.62
51,1081,2016-04-30 07:46:00,501,26,15,542,2499.99,194.74,121.8,2816.53
52,1081,2016-05-30 04:02:00,273,74,29,376,1362.27,554.26,235.48,2152.01
53,1081,2016-06-28 06:18:00,328,25,21,374,1636.72,187.25,170.52,1994.49
54,1081,2016-07-28 22:48:00,302,54,19,375,1506.98,404.46,154.28,2065.72
55,1081,2016-08-26 16:47:00,272,25,30,327,1357.28,187.25,243.6,1788.13
56,1081,2016-09-24 09:47:00,319,45,101,465,1591.81,337.05,820.12,2748.98
57,1081,2016-10-24 21:46:00,303,28,0,331,1511.97,209.72,0,1721.69
58,1081,2016-11-23 04:38:00,334,25,20,379,1666.66,187.25,162.4,2016.31
59,1081,2016-12-23 13:19:00,293,29,0,322,1462.07,217.21,0,1679.28
60,1091,2014-08-15 05:38:00,150,0,19,169,748.5,0,154.28,902.78
61,1091,2014-09-13 05:11:00,150,28,16,194,748.5,209.72,129.92,1088.14
62,1091,2014-10-13 12:12:00,146,196,3,345,728.54,1468.04,24.36,2220.94
63,1091,2014-11-12 06:54:00,146,10,17,173,728.54,74.9,138.04,941.48
64,1091,2014-12-11 10:36:00,261,25,13,299,1302.39,187.25,105.56,1595.2
65,1091,2015-01-09 14:16:00,148,15,92,255,738.52,112.35,747.04,1597.91
66,1091,2015-02-08 10:01:00,132,14,10,156,658.68,104.86,81.2,844.74
67,1091,2015-04-07 13:29:00,95,0,0,95,474.05,0,0,474.05
68,1091,2015-06-05 19:18:00,150,0,11,161,748.5,0,89.32,837.82
69,1091,2015-07-05 02:45:00,145,0,9,154,723.55,0,73.08,796.63
70,1091,2015-08-03 12:02:00,122,5,0,127,608.78,37.45,0,646.23
71,1091,2015-09-01 14:30:00,150,19,21,190,748.5,142.31,170.52,1061.33
72,1091,2015-10-01 15:53:00,163,25,0,188,813.37,187.25,0,1000.62
73,1091,2015-10-31 16:07:00,135,0,8,143,673.65,0,64.96,738.61
74,1091,2015-11-29 21:32:00,162,13,0,175,808.38,97.37,0,905.75
75,1091,2015-12-28 18:48:00,144,10,17,171,718.56,74.9,138.04,931.5
76,1091,2016-01-26 06:32:00,153,0,69,222,763.47,0,560.28,1323.75
77,1091,2016-02-25 07:04:00,144,5,19,168,718.56,37.45,154.28,910.29
78,1091,2016-03-25 22:26:00,99,0,33,132,494.01,0,267.96,761.97
79,1091,2016-04-24 07:33:00,145,0,15,160,723.55,0,121.8,845.35
80,1091,2016-05-23 07:40:00,156,0,11,167,778.44,0,89.32,867.76
81,1091,2016-06-22 01:09:00,149,8,0,157,743.51,59.92,0,803.43
82,1091,2016-07-21 18:51:00,148,0,50,198,738.52,0,406,1144.52
83,1091,2016-08-20 04:50:00,137,12,6,155,683.63,89.88,48.72,822.23
